Year,District Name,District_Code.x,In_District_Expenditures,Total_In_District_FTEs,In_District_Expenditures_Per_Pupil,Total_Expenditures,Total_Pupil_FTEs,Total_Expenditures_Per_Pupil,District_Code.y,Cohort_Size,Percent_Graduated,Percent_Still_in_School,Percent_Non_Grad_Completers,Percent_HS_Equiv,Percent_Dropped_Out,Percent_Excluded,Percent_American_Indian,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Multi_Race,Percent_Pacific_Islander,Percent_White,Percent_Female,Percent_Male,SAT_Tests_Taken,SAT_Reading_Writing_Mean_Score,SAT_Math_Mean_Score,Student_Teacher_Ratio,Low_Income_Percent
2009,needham,01990000,"$63,048,783.49","5,151.5","$12,238.82","$67,681,741.94","5,224.5","$12,954.58",1990000,305,97.4,1,0.3,0.3,1,0,0.1,6,3.3,2.5,NA,NA,88.1,48.1,51.9,279,586.5,597,12.3,7.8
2010,needham,01990000,"$67,170,242.52","5,334.7","$12,591.19","$71,678,370.62","5,410.4","$13,248.26",1990000,354,95.8,3.7,0,0.3,0.3,0,0.1,4.4,3,2.8,2.5,0.1,87.1,48.4,51.6,340,591,601,12.3,7.8
2011,needham,01990000,"$68,696,465.87","5,365.8","$12,802.65","$74,135,776.68","5,450.5","$13,601.65",1990000,311,97.1,1.9,0,0.3,0.6,0,0.1,5.1,2.8,2.9,2.4,0.2,86.6,48.6,51.4,325,591.5,595,12.3,7.8
2012,needham,01990000,"$69,911,892.23","5,437.7","$12,856.89","$75,807,674.85","5,516.6","$13,741.74",1990000,351,96.3,2,0,1.4,0,0.3,0.1,5.6,2.9,3.2,2.4,0.1,85.8,48.3,51.7,341,581.5,594,12.3,7.8
2013,needham,01990000,"$73,788,955.64","5,481.6","$13,461.21","$79,639,710.75","5,561.5","$14,319.83",1990000,346,96.5,2.9,0,0,0.6,0,0.1,6,2.9,3.2,2.5,0.1,85.2,48.1,51.9,348,582.5,595,12.3,7.8
2014,needham,01990000,"$78,306,270.54","5,528.4","$14,164.36","$84,240,441.96","5,608.6","$15,019.87",1990000,341,98.2,0.6,0.3,0.3,0.6,0,0.2,6.3,3.1,3.2,2.8,0.1,84.4,48.6,51.4,329,0,605,12.3,7.8
2015,needham,01990000,"$83,361,035.00","5,534.6","$15,061.80","$89,453,468.00","5,625.9","$15,900.29",1990000,370,98.1,1.6,0,0.3,0,0,0.1,6.6,3,3.5,2.8,0.1,83.9,49.5,50.5,349,0,599,12.3,7.8
2016,needham,01990000,"$87,209,306.00","5,583.2","$15,619.95","$93,952,007.00","5,677.9","$16,546.96",1990000,399,97.2,2.3,0,0.3,0,0.3,0.1,6.7,2.7,3.8,3.1,0,83.5,49.6,50.4,363,0,582,12.3,7.8
2017,needham,01990000,"$92,217,788.00","5,621.0","$16,405.94","$98,879,657.00","5,713.4","$17,306.62",1990000,393,98.2,1.5,0,0.3,0,0,0.1,7.1,2.6,4.3,3.3,0,82.6,50,50,490,610,608,12.3,7.8
2018,needham,01990000,"$97,724,271.00","5,677.5","$17,212.55","$104,781,981.92","5,773.5","$18,148.78",1990000,380,97.1,2.4,0,0.3,0.3,0,0.1,7.4,2.5,4.7,3.7,0,81.6,50.3,49.7,445,618,624,12.3,7.8
2019,needham,01990000,"$102,579,161.00","5,736.2","$17,882.77","$109,800,578.00","5,832.2","$18,826.61",1990000,427,98.4,1.2,0,0,0.5,0,0,7.5,2.8,4.7,3.9,0,81,50.4,49.6,434,609,617,12.3,7.8
2020,needham,01990000,"$104,056,199.89","5,728.4","$18,164.97","$111,833,201.23","5,826.8","$19,192.90",1990000,392,99,0.5,0.3,0,0.3,0,0.1,7.9,2.9,5.2,4.4,0,79.6,50.8,49.2,208,608,619,12.3,7.8
2021,needham,01990000,"$111,679,487.23","5,531.0","$20,191.55","$119,127,012.65","5,633.4","$21,146.56",1990000,406,98,1.2,0,0.5,0.2,0,0.1,8.4,2.9,5.4,4.6,0,78.5,50.6,49.4,357,629,645,12.3,7.8
2022,needham,01990000,"$121,188,348.00","5,561.6","$21,790.19","$128,972,521.80","5,654.6","$22,808.43",1990000,424,98.3,0.7,0.5,0,0.5,0,0.1,8.9,2.9,5.6,4.9,0,77.5,50.2,49.7,368,637,640,12.3,7.8
2023,needham,01990000,"$123,897,331.00","5,550.8","$22,320.63","$132,216,855.40","5,648.6","$23,407.01",1990000,358,98.9,1.1,0,0,0,0,0.1,8.8,2.9,5.8,5.1,0,77.3,50.1,49.9,379,626,632,12.3,7.8
2008,new bedford,02010000,"$157,029,627.00","12,814.8","$12,253.77","$168,971,283.00","13,323.3","$12,682.39",2010000,706,61.6,13.5,0,1.7,23.2,0,0.4,0.9,15.9,18.7,NA,NA,64,48.4,51.6,338,439.5,454,12.1,79.8
2009,new bedford,02010000,"$161,659,001.00","12,521.6","$12,910.43","$173,026,017.00","13,088.4","$13,219.82",2010000,619,61.2,13.2,1.9,2.3,21,0.3,0.4,0.9,15.1,20,NA,NA,63.6,48.5,51.5,299,433,446,12.1,79.8
2010,new bedford,02010000,"$158,264,577.00","12,602.1","$12,558.59","$169,827,790.00","13,191.6","$12,873.93",2010000,625,59.2,17.4,3.4,1.3,18.6,0.2,0.5,1.1,12.9,24.2,5.4,0.4,55.4,48.2,51.8,293,442.5,457,12.1,79.8
2011,new bedford,02010000,"$162,936,020.00","12,630.9","$12,899.79","$173,016,340.00","13,236.5","$13,071.15",2010000,566,59.7,15.9,5.5,1.9,17,0,0.6,1.1,12.7,25.6,5.8,0.5,53.7,48,52,277,438.5,448,12.1,79.8
2012,new bedford,02010000,"$159,194,669.00","12,541.4","$12,693.53","$170,499,098.80","13,262.0","$12,856.21",2010000,542,58.1,14.6,4.2,1.5,21.6,0,0.7,1,12.3,26.2,6.3,0.6,52.9,47.7,52.3,247,435,443,12.1,79.8
2013,new bedford,02010000,"$164,878,135.00","12,583.0","$13,103.25","$177,327,314.00","13,368.5","$13,264.56",2010000,501,61.9,10.8,4,1.8,21.4,0.2,1,1.1,11.8,27.4,6.6,0.7,51.4,47.4,52.6,257,418.5,431,12.1,79.8
2014,new bedford,02010000,"$160,167,396.00","12,679.5","$12,632.00","$173,166,826.00","13,537.3","$12,791.83",2010000,444,64.9,8.6,7,2.3,17.1,0.2,1,1.1,11.8,27.9,6.6,0.6,51,47.5,52.5,214,0,440,12.1,79.8
2015,new bedford,02010000,"$162,843,598.00","12,564.2","$12,960.92","$178,411,852.00","13,572.9","$13,144.71",2010000,414,60.4,10.6,7.5,1.9,19.3,0.2,0.9,0.9,11.7,27.8,6.5,0.5,51.6,47.3,52.7,233,0,440,12.1,79.8
2016,new bedford,02010000,"$164,381,725.00","12,615.3","$13,030.35","$182,502,046.00","13,766.5","$13,256.97",2010000,484,65.1,11.8,6,1.4,15.7,0,0.7,0.8,11.6,29.7,6.3,0.5,50.2,47.2,52.8,214,0,449,12.1,79.8
2017,new bedford,02010000,"$175,266,991.00","12,817.0","$13,674.57","$197,033,646.00","14,095.7","$13,978.28",2010000,489,66.1,8.4,8.2,2.2,15.1,0,0.6,0.8,11.7,31.1,6.1,0.5,49.2,47.1,52.9,213,496,486,12.1,79.8
2018,new bedford,02010000,"$177,913,726.00","12,735.6","$13,969.80","$201,876,071.69","14,190.2","$14,226.44",2010000,264,65.5,8.3,8.3,1.5,16.3,0,0.5,0.8,11.7,32.8,6.1,0.4,47.7,46.9,53.1,177,476,479,12.1,79.8
2019,new bedford,02010000,"$186,577,141.52","12,971.9","$14,383.18","$212,607,408.52","14,491.4","$14,671.28",2010000,345,74.2,6.1,4.9,0.9,13.9,0,0.5,0.8,11.7,34.5,5.9,0.3,46.3,47.1,52.9,261,484,478,12.1,79.8
2020,new bedford,02010000,"$201,640,234.15","12,945.7","$15,575.85","$231,122,377.15","14,568.1","$15,864.96",2010000,376,79.5,7.2,0.5,0.3,12.5,0,0.5,0.9,11.3,36.5,5.7,0.2,44.8,47.2,52.8,156,494,475,12.1,79.8
2021,new bedford,02010000,"$218,329,882.33","12,565.2","$17,375.76","$247,859,926.33","14,196.0","$17,459.84",2010000,388,80.4,5.9,1,0,12.6,0,0.5,0.9,11.6,38.9,5.3,0.2,42.6,47.6,52.4,27,516,490,12.1,79.8
2022,new bedford,02010000,"$241,063,736.40","12,744.9","$18,914.53","$274,379,298.50","14,561.6","$18,842.66",2010000,540,77.6,3.3,1.7,0.4,17,0,0.4,1,12.4,39.4,5.4,0.1,41.3,47.5,52.5,144,511,478,12.1,79.8
2023,new bedford,02010000,"$266,790,422.60","12,651.9","$21,086.98","$306,016,180.80","14,611.6","$20,943.37",2010000,596,79.2,2.9,1.2,0.3,16.4,0,0.4,0.9,13.2,40.3,5.3,0.1,39.8,47.7,52.3,151,502,469,12.1,79.8
2008,new salem-wendell,07280000,"$1,926,635.00",142.9,"$13,482.40","$1,983,613.00",155.9,"$12,723.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,new salem-wendell,07280000,"$1,986,040.00",141.1,"$14,077.40","$2,025,829.00",150.1,"$13,498.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,new salem-wendell,07280000,"$1,982,533.00",136.5,"$14,524.05","$2,046,848.00",148.0,"$13,830.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,new salem-wendell,07280000,"$2,100,304.00",142.1,"$14,780.46","$2,155,305.00",153.2,"$14,068.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,new salem-wendell,07280000,"$2,120,401.00",131.9,"$16,075.82","$2,206,038.00",143.8,"$15,341.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,new salem-wendell,07280000,"$2,124,016.00",132.2,"$16,066.69","$2,165,436.00",141.2,"$15,335.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,new salem-wendell,07280000,"$2,275,634.00",132.6,"$17,161.64","$2,313,776.00",138.7,"$16,681.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,new salem-wendell,07280000,"$2,344,160.00",151.8,"$15,442.42","$2,395,329.00",161.0,"$14,877.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,new salem-wendell,07280000,"$2,494,571.00",158.8,"$15,708.88","$2,646,713.00",172.4,"$15,352.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,new salem-wendell,07280000,"$2,663,057.00",170.3,"$15,637.45","$2,748,065.00",176.4,"$15,578.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,new salem-wendell,07280000,"$2,859,762.02",158.9,"$17,997.24","$2,902,612.02",167.3,"$17,349.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,new salem-wendell,07280000,"$3,021,977.00",151.2,"$19,986.62","$3,121,458.00",161.2,"$19,363.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,new salem-wendell,07280000,"$3,068,389.00",145.3,"$21,117.61","$3,097,202.00",154.3,"$20,072.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,new salem-wendell,07280000,"$3,141,594.24",130.8,"$24,018.30","$3,207,414.24",141.7,"$22,635.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,new salem-wendell,07280000,"$3,490,903.00",131.1,"$26,627.79","$3,558,004.00",140.6,"$25,305.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,new salem-wendell,07280000,"$3,329,876.00",137.2,"$24,270.23","$3,400,672.64",147.6,"$23,039.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,newburyport,02040000,"$27,348,355.03","2,303.2","$11,874.07","$30,965,167.83","2,538.3","$12,199.18",2040000,186,94.1,2.2,0.5,1.1,2.2,0,0.3,1.1,1,1,NA,NA,96.6,47.3,52.7,166,526,538,10.1,12.8
2009,newburyport,02040000,"$28,029,759.70","2,271.3","$12,340.95","$31,402,900.28","2,507.6","$12,523.19",2040000,161,96.3,1.2,0,1.2,1.2,0,0.4,1.4,1,1.3,NA,NA,95.8,47.8,52.2,136,555.5,571,10.1,12.8
2010,newburyport,02040000,"$29,122,417.32","2,267.4","$12,843.97","$32,333,883.12","2,499.1","$12,938.21",2040000,161,93.8,2.5,0,1.2,2.5,0,0.1,1.5,0.8,1.3,0,0,96.2,47.9,52.1,139,544.5,560,10.1,12.8
2011,newburyport,02040000,"$30,061,470.80","2,279.3","$13,188.90","$33,552,798.67","2,509.8","$13,368.71",2040000,178,96.1,0,0,0.6,2.2,1.1,0.1,1.3,0.7,2.6,0.3,0,95,48.3,51.7,171,547.5,559,10.1,12.8
2012,newburyport,02040000,"$30,915,033.66","2,325.9","$13,291.64","$35,226,729.04","2,586.0","$13,622.09",2040000,156,94.2,3.8,0,0.6,1.3,0,0,1.5,0.7,2.9,0.4,0,94.5,49,51,145,554.5,563,10.1,12.8
2013,newburyport,02040000,"$30,732,498.74","2,338.6","$13,141.41","$34,943,383.54","2,592.1","$13,480.72",2040000,169,97,0.6,0.6,0,1.8,0,0.1,1.3,0.9,2.9,0.5,0,94.2,48,52,162,535.5,551,10.1,12.8
2014,newburyport,02040000,"$31,838,640.09","2,327.2","$13,681.09","$36,610,471.26","2,601.5","$14,072.83",2040000,148,97.3,1.4,0.7,0,0.7,0,0.3,1.5,1.1,2.4,0.6,0,94.1,48.4,51.6,148,0,567,10.1,12.8
2015,newburyport,02040000,"$32,063,440.00","2,340.1","$13,701.74","$36,564,242.00","2,581.3","$14,165.05",2040000,177,96.6,2.3,0,1.1,0,0,0.1,1.6,0.5,2.2,2.2,0,93.3,48.5,51.5,175,0,560,10.1,12.8
2016,newburyport,02040000,"$33,832,308.00","2,292.3","$14,759.11","$38,548,184.00","2,518.4","$15,306.62",2040000,170,97.6,1.8,0,0,0.6,0,0,1.6,0.9,2.1,2,0,93.3,49.6,50.4,149,0,563,10.1,12.8
2017,newburyport,02040000,"$35,326,346.00","2,288.9","$15,433.77","$39,941,757.00","2,513.0","$15,894.05",2040000,197,95.9,2,0.5,0.5,1,0,0,1.7,0.9,1.9,1.8,0,93.5,50,50,278,584,585,10.1,12.8
2018,newburyport,02040000,"$36,543,971.96","2,260.7","$16,164.89","$41,857,883.87","2,483.9","$16,851.68",2040000,185,96.2,1.6,0,0,2.2,0,0,1.5,1,2.1,1.9,0,93.4,49.2,50.8,230,584,585,10.1,12.8
2019,newburyport,02040000,"$38,291,416.40","2,233.7","$17,142.60","$44,121,148.03","2,462.8","$17,915.03",2040000,171,95.9,1.2,1.2,0,1.8,0,0,1.8,1,2.3,1.8,0,92.9,50.5,49.5,231,579,585,10.1,12.8
2020,newburyport,02040000,"$39,015,003.39","2,265.7","$17,219.85","$44,640,645.39","2,477.9","$18,015.52",2040000,165,96.4,3.6,0,0,0,0,0.1,1.7,1,2.9,1.7,0,92.7,50.2,49.8,97,576,585,10.1,12.8
2021,newburyport,02040000,"$40,472,141.33","2,129.6","$19,004.57","$46,514,748.32","2,328.5","$19,976.27",2040000,194,95.9,2.6,0,0,1.5,0,0,1.6,1.1,2.9,1.7,0,92.7,49.7,50.3,182,581,583,10.1,12.8
2022,newburyport,02040000,"$43,331,840.25","2,182.7","$19,852.40","$49,672,111.25","2,378.8","$20,881.16",2040000,161,97.5,1.2,0,0,1.2,0,0,1.7,1.1,3.4,1.9,0,91.8,50,50,191,587,574,10.1,12.8
2023,newburyport,02040000,"$46,719,118.22","2,159.5","$21,634.23","$53,517,820.14","2,341.4","$22,857.19",2040000,200,96.5,3,0,0.5,0,0,0,1.9,1,3.5,2,0,91.5,50.8,49.2,188,596,592,10.1,12.8
2008,newton,02070000,"$172,202,668.49","11,629.4","$14,807.53","$182,606,104.49","11,782.5","$15,498.08",2070000,829,95.9,2.7,0.1,0.2,1.1,0,0.1,11.6,5.3,3.2,NA,NA,79.7,48.8,51.2,817,598.5,614,11.1,13.4
2009,newton,02070000,"$180,915,118.00","11,631.5","$15,553.88","$191,313,628.00","11,778.0","$16,243.29",2070000,845,96.3,1.7,0,0,2,0,0.1,12.5,5.4,3.4,NA,NA,78.6,48.7,51.3,767,604.5,619,11.1,13.4
2010,newton,02070000,"$186,194,112.00","11,714.9","$15,893.79","$196,904,084.00","11,863.5","$16,597.47",2070000,843,95.7,3.6,0,0.4,0.4,0,0.1,12.1,4.9,8.8,2.7,0,71.3,48.7,51.3,775,597,617,11.1,13.4
2011,newton,02070000,"$185,262,018.00","11,892.1","$15,578.58","$197,741,997.00","12,059.5","$16,397.20",2070000,803,96.9,2.6,0,0,0.5,0,0,13.1,4.9,6.5,3.4,0,72,48.7,51.3,793,592,614,11.1,13.4
2012,newton,02070000,"$186,678,086.00","12,024.8","$15,524.42","$200,063,957.00","12,199.1","$16,399.89",2070000,770,96.2,3.1,0,0.3,0.4,0,0.1,13.6,4.8,6.5,4.3,0,70.7,48.7,51.3,751,591,614,11.1,13.4
2013,newton,02070000,"$197,397,753.00","12,213.2","$16,162.66","$212,304,634.00","12,385.9","$17,140.83",2070000,789,96.7,2.8,0,0.1,0.4,0,0.1,14.5,5.1,6.1,4.5,0,69.8,48.4,51.6,764,593,619,11.1,13.4
2014,newton,02070000,"$207,517,383.00","12,456.5","$16,659.37","$221,922,627.00","12,623.1","$17,580.68",2070000,836,96.3,3.2,0,0.1,0.4,0,0.1,14.7,5.1,6.3,5,0,68.8,48.8,51.2,822,0,608,11.1,13.4
2015,newton,02070000,"$214,556,729.00","12,506.2","$17,156.03","$229,048,527.00","12,657.2","$18,096.30",2070000,816,95.8,3.4,0,0.2,0.5,0,0.1,15.1,5.3,6.6,5.1,0,67.7,49,51,774,0,615,11.1,13.4
2016,newton,02070000,"$225,820,388.00","12,635.2","$17,872.32","$240,496,480.00","12,806.9","$18,778.66",2070000,863,97.9,2,0,0,0.1,0,0.1,15.6,5.4,7,5.3,0,66.6,49.3,50.7,792,0,608,11.1,13.4
2017,newton,02070000,"$231,072,144.00","12,876.8","$17,944.84","$246,487,344.00","13,042.5","$18,898.78",2070000,882,96.8,2.8,0,0.1,0.2,0,0.1,16.4,5.3,6.9,5.4,0,65.8,49.2,50.8,"1,021",620,630,11.1,13.4
2018,newton,02070000,"$237,983,377.00","12,893.4","$18,457.77","$252,956,051.72","13,041.7","$19,395.94",2070000,923,97,2.3,0,0.3,0.4,0,0.1,16.8,5.1,6.9,5.2,0.1,65.8,49.6,50.4,"1,033",622,636,11.1,13.4
2019,newton,02070000,"$247,574,343.00","12,829.4","$19,297.42","$262,570,016.00","12,985.7","$20,219.94",2070000,905,96.1,3.2,0,0.2,0.4,0,0.1,17,4.9,7.3,5.4,0.1,65.1,49.5,50.5,"1,007",626,637,11.1,13.4
2020,newton,02070000,"$254,381,218.00","12,806.3","$19,863.76","$269,597,506.00","12,970.4","$20,785.60",2070000,934,97,2.5,0,0.3,0.2,0,0.2,17.6,4.7,7.4,5.5,0,64.6,49.2,50.8,551,622,642,11.1,13.4
2021,newton,02070000,"$270,427,954.00","12,019.4","$22,499.29","$285,876,115.00","12,200.7","$23,431.12",2070000,918,96.7,2.6,0,0.1,0.5,0,0.1,18,4.7,7.6,5.8,0,63.7,49.3,50.7,926,639,657,11.1,13.4
2022,newton,02070000,"$284,598,150.00","12,074.2","$23,570.77","$300,003,740.00","12,234.1","$24,521.93",2070000,940,97.1,2.4,0,0.1,0.3,0,0.1,18.3,4.9,7.6,6.2,0.1,62.9,49.1,50.9,980,629,638,11.1,13.4
2023,newton,02070000,"$290,372,816.00","11,903.7","$24,393.49","$304,673,927.50","12,053.9","$25,275.96",2070000,905,96.8,2.8,0,0,0.4,0,0.1,19,4.7,7.6,6.5,0,62.1,49.1,50.9,860,630,637,11.1,13.4
2008,norfolk,02080000,"$11,892,576.00","1,090.4","$10,906.62","$12,779,167.00","1,117.4","$11,436.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,norfolk,02080000,"$12,053,077.00","1,068.0","$11,285.44","$12,746,194.00","1,088.4","$11,710.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,norfolk,02080000,"$11,919,975.00","1,070.9","$11,130.80","$12,668,217.00","1,087.5","$11,648.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,norfolk,02080000,"$11,714,406.67","1,005.3","$11,652.65","$12,451,768.00","1,020.4","$12,202.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,norfolk,02080000,"$11,579,945.00",968.0,"$11,962.75","$12,379,420.00",979.8,"$12,634.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,norfolk,02080000,"$11,523,149.00",929.5,"$12,397.15","$12,352,334.00",943.5,"$13,092.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,norfolk,02080000,"$12,115,608.00",921.8,"$13,143.42","$12,943,491.00",936.1,"$13,827.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,norfolk,02080000,"$13,029,628.00",890.8,"$14,626.88","$13,460,339.00",903.5,"$14,898.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,norfolk,02080000,"$13,579,977.00",913.4,"$14,867.50","$14,075,239.00",926.4,"$15,193.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,norfolk,02080000,"$13,907,469.00",948.3,"$14,665.68","$14,255,188.00",958.3,"$14,875.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,norfolk,02080000,"$14,767,440.00",962.0,"$15,350.77","$15,060,976.00",973.4,"$15,472.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,norfolk,02080000,"$15,586,229.00",965.1,"$16,149.86","$15,967,137.00",980.5,"$16,284.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,norfolk,02080000,"$15,581,185.00",990.7,"$15,727.45","$16,139,749.00","1,011.7","$15,953.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,norfolk,02080000,"$16,692,493.00",996.6,"$16,749.44","$17,187,978.00","1,016.3","$16,912.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,norfolk,02080000,"$17,359,183.35","1,047.8","$16,567.27","$17,962,423.00","1,068.9","$16,804.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,norfolk,02080000,"$18,019,028.00","1,026.0","$17,562.41","$18,668,700.00","1,046.0","$17,847.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,north adams,02090000,"$24,678,018.78","1,648.3","$14,971.80","$28,171,853.78","1,847.6","$15,247.81",2090000,116,84.5,1.7,0,2.6,10.3,0.9,0.7,1.4,4.4,3.6,NA,NA,89.9,53,47,87,474.5,474,9.6,71.4
2009,north adams,02090000,"$23,551,825.74","1,558.1","$15,115.83","$27,108,215.74","1,754.5","$15,450.77",2090000,117,77.8,6,1.7,0.9,13.7,0,0.9,1.4,4.4,3.8,NA,NA,89.6,51.2,48.8,71,460,463,9.6,71.4
2010,north adams,02090000,"$22,073,334.60","1,568.9","$14,069.31","$25,151,699.60","1,752.8","$14,349.44",2090000,124,76.6,8.1,0.8,4,10.5,0,0.5,1,3.4,4.4,2.7,0.2,87.8,51.7,48.3,78,469.5,467,9.6,71.4
2011,north adams,02090000,"$23,192,991.78","1,534.0","$15,119.29","$26,157,686.77","1,732.1","$15,101.72",2090000,97,78.4,6.2,0,2.1,13.4,0,0.4,0.7,3.7,5.4,3.1,1.3,85.4,49.7,50.3,64,467.5,458,9.6,71.4
2012,north adams,02090000,"$23,488,610.54","1,547.2","$15,181.37","$26,103,848.54","1,750.5","$14,912.22",2090000,100,84,1,0,6,9,0,0.5,0.4,2.8,3.9,1.7,0.8,90,49,51,69,461,473,9.6,71.4
2013,north adams,02090000,"$22,960,962.15","1,516.9","$15,136.77","$26,077,209.69","1,726.5","$15,104.09",2090000,100,77,5,0,4,14,0,0.4,0.4,3.3,5.7,3.3,1,85.8,48.7,51.3,60,439,453,9.6,71.4
2014,north adams,02090000,"$23,116,866.73","1,497.7","$15,434.91","$26,223,968.86","1,693.6","$15,484.16",2090000,82,81.7,4.9,0,3.7,9.8,0,0.5,0.6,3.6,5.6,4.2,0.8,84.7,47.8,52.2,65,0,475,9.6,71.4
2015,north adams,02090000,"$22,778,512.00","1,469.7","$15,498.75","$25,859,437.00","1,659.4","$15,583.61",2090000,92,89.1,2.2,1.1,0,7.6,0,0.4,0.4,3.3,5.5,4.8,0.5,85.2,47.5,52.5,63,0,467,9.6,71.4
2016,north adams,02090000,"$22,561,168.00","1,440.0","$15,667.48","$25,252,273.00","1,620.1","$15,586.86",2090000,89,82,7.9,0,1.1,9,0,0.3,0.3,3,5,6,0.6,84.8,47.6,52.4,54,0,477,9.6,71.4
2017,north adams,02090000,"$23,484,293.00","1,460.1","$16,084.03","$26,239,649.00","1,649.9","$15,903.78",2090000,70,85.7,1.4,4.3,2.9,5.7,0,0.2,0.5,3.5,4.7,5.9,0.8,84.5,49.6,50.4,68,517,514,9.6,71.4
2018,north adams,02090000,"$23,886,894.59","1,425.1","$16,761.56","$27,121,494.98","1,626.7","$16,672.71",2090000,69,76.8,7.2,1.4,2.9,11.6,0,0.2,0.6,3.1,4.7,6.4,0.7,84.3,49.4,50.6,64,513,493,9.6,71.4
2019,north adams,02090000,"$25,117,238.00","1,365.4","$18,395.52","$28,675,473.00","1,587.3","$18,065.57",2090000,75,88,1.3,2.7,1.3,6.7,0,0.2,0.3,3.1,5.7,6.6,0.5,83.6,49.7,50.3,53,514,500,9.6,71.4
