,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math
46,2023,Brookline,460000,443,96.6,2,0,0,1.4,0,460000,0,20.1,5.8,10.7,9.5,0.1,53.9,49.1,50.7,444,647,661
47,2023,Burlington,480000,212,95.3,3.8,0,0,0.9,0,480000,0.3,17,6.1,6.2,4.1,0,66.4,49.4,50.6,167,585,575
48,2023,Cambridge,490000,421,92.6,6.4,0,0.2,0.7,0,490000,0.3,12.8,23.8,13.7,8.7,0.2,40.5,49.5,50.5,374,607,587
49,2023,Canton,500000,197,95.9,3.6,0,0,0,0.5,500000,0,10.8,10.5,5.1,5.6,0.2,67.8,50.1,49.8,267,557,555
50,2023,Cape Cod Regional Vocational Technical,8150000,131,97.7,0.8,0,0,1.5,0,8150000,1.9,0.7,7.9,12.1,4.4,0.5,72.5,34.7,65.3,45,508,474
51,2023,Carver,520000,84,94,1.2,1.2,0,3.6,0,520000,0.2,0.5,1.3,1.5,1.3,0.1,95.1,49.3,50.7,84,548,529
52,2023,Central Berkshire,6350000,103,94.2,2.9,0,0,2.9,0,6350000,0.2,0.8,0.6,3.9,3.3,0,91.1,48.6,51.4,80,535,535
53,2023,Chelmsford,560000,300,95.3,2.7,0,0,2,0,560000,0.2,15.1,3.1,5.7,3,0.1,72.8,47.9,52.1,275,588,587
54,2023,Chelsea,570000,344,68.6,17.4,2.6,0,11.3,0,570000,0.1,1,5,86.6,0.8,0,6.5,48.2,51.8,64,487,475
55,2023,Chicopee,610000,433,91.2,1.6,1.2,0.5,5.5,0,610000,0.1,2.1,4.2,38.2,3.1,0,52.3,46.4,53.5,126,538,523
56,2023,City on a Hill Charter Public School (District),4370000,18,77.8,5.6,0,0,16.7,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,nil
57,2023,Clinton,640000,100,92,1,0,1,6,0,640000,0,1.5,3.4,25,2,0.1,68,48,52,65,535,492
58,2023,Codman Academy Charter Public (District),4380000,28,89.3,3.6,0,0,7.1,0,4380000,0.3,0,75.7,21.9,0.9,0.6,0.6,51.2,48.8,55,415,393
59,2023,Cohasset,650000,110,97.3,0.9,0,0,1.8,0,650000,0.1,2.4,3,1.3,1.3,0,91.8,49.1,50.9,118,616,586
60,2023,Collegiate Charter School of Lowell (District),35030000,25,88,0,0,0,12,0,35030000,0.1,25.1,18.8,36.1,4.6,0,15.4,50.9,49.1,8,nil,nil
61,2023,Community Charter School of Cambridge (District),4360000,28,96.4,3.6,0,0,0,0,4360000,0.6,4.8,65.1,20.8,4.2,0.3,4.2,55.4,44.6,49,526,539
62,2023,Concord-Carlisle,6400000,325,98.2,1.5,0,0,0.3,0,6400000,0.1,8.7,4.2,4.6,4.8,0,77.6,52.5,47.3,319,644,647
63,2023,Danvers,710000,191,94.2,1.6,0.5,0,3.7,0,710000,0.2,2.6,2.3,7.8,2.6,0.1,84.4,49,51,112,572,546
64,2023,Dartmouth,720000,214,93.5,1.9,0,0,4.7,0,720000,0,0.6,1.4,4.1,6.2,0,87.7,47.3,52.6,169,564,544
65,2023,Dedham,730000,148,91.2,4.7,0,0,4.1,0,730000,0.2,2.6,7.3,16,4.3,0,69.6,48.1,51.9,132,555,572
66,2023,Dennis-Yarmouth,6450000,132,91.7,3.8,0,0,4.5,0,6450000,2.1,2.2,9.4,12.5,6.5,0.2,67.1,49.2,50.8,86,530,519
67,2023,Dighton-Rehoboth,6500000,151,93.4,2,0,0,4.6,0,6500000,0.1,1.3,1.1,4.5,3.4,0,89.6,48.1,51.9,112,557,532
68,2023,Douglas,770000,69,95.7,4.3,0,0,0,0,770000,0,1.1,0.5,3.8,3,0.2,91.4,48.2,51.8,61,554,522
69,2023,Dover-Sherborn,6550000,150,98.7,1.3,0,0,0,0,6550000,0.2,8.7,2.9,4,4.1,0,80.1,47.7,52.2,161,644,647
