...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
88,2023,framingham,1000000,541,83.4,3.9,2.8,0,10,0,1000000,0.1,4.9,7.6,27.4,4.3,0.1,55.7,48.9,51.1,339,572,573,11.5,53.8
90,2023,franklin,1010000,413,97.8,1.7,0,0.2,0.2,0,1010000,0.1,5.6,1.9,3.4,2,0.8,86.2,48.6,51.3,429,585,575,12.1,15.8
91,2023,franklin county regional vocational technical,8180000,123,91.9,0,0,0.8,7.3,0,8180000,0,0,1.6,3.6,2.4,0,92.3,34.4,65.6,19,483,494,10.8,41.4
92,2023,freetown-lakeville,6650000,173,96,2.3,1.2,0,0.6,0,6650000,0.1,0.8,1.4,1.7,2.1,0.1,93.8,48.7,51.3,163,573,557,12.5,23.4
93,2023,frontier,6700000,82,95.1,1.2,1.2,1.2,1.2,0,6700000,0,2.8,1.4,4.2,3.1,0.2,88.4,45.7,54.3,57,619,595,11.7,26.3
94,2023,gardner,1030000,94,87.2,3.2,0,0,9.6,0,1030000,0.2,2.1,2.7,20.5,7.6,0,66.9,47.2,52.6,104,463,449,16.7,64.8
95,2023,gateway,6720000,39,97.4,0,0,0,2.6,0,6720000,0.4,0.4,0.8,4.2,2.3,0.1,91.8,49.6,50.4,21,574,521,9.4,46.8
96,2023,georgetown,1050000,73,95.9,1.4,0,0,2.7,0,1050000,0,1.2,0.6,2.1,1.9,0.1,94.1,48.9,51.1,68,553,543,17.9,14.3
97,2023,gill-montague,6740000,32,84.4,3.1,0,0,12.5,0,6740000,0.2,0.4,1.3,11.4,6.7,0.2,79.7,47.9,52.1,17,606,582,9.6,57.1
99,2023,gloucester,1070000,178,87.6,5.1,1.7,0,5.6,0,1070000,0.3,1.2,1.8,10.2,3.4,0.2,83,47.9,52.1,103,551,556,10.7,44.2
100,2023,grafton,1100000,209,98.6,0.5,0.5,0.5,0,0,1100000,0.1,12.1,1.6,4.6,3,0.1,78.3,48.2,51.8,169,580,579,12.8,15.8
101,2023,granby,1110000,55,94.5,1.8,0,0,3.6,0,1110000,0.4,1.5,0.1,9.5,2.5,0,86,47.7,52.3,20,559,542,11.9,35.4
102,2023,greater commonwealth virtual district,39010000,49,55.1,14.3,0,0,30.6,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,16,542,524,15.4,60.7
103,2023,greater fall river regional vocational technical,8210000,306,97.7,0.3,0.3,0,1.6,0,8210000,0.4,1.8,2.6,11.5,5.8,0.1,77.7,45.6,54.4,59,549,507,10.1,46.6
104,2023,greater lawrence regional vocational technical,8230000,389,99.7,0,0.3,0,0,0,8230000,0.1,1.3,1.1,82.3,0,0,15.2,50.2,49.8,48,475,460,10.8,65.1
105,2023,greater lowell regional vocational technical,8280000,532,97,1.5,0.2,0,1.3,0,8280000,0.3,15.8,4.3,34.4,3.8,0,41.4,46,53.9,141,509,496,10.9,48.7
106,2023,greater new bedford regional vocational technical,8250000,460,96.1,1.5,0,0,1.5,0.9,8250000,0.4,0.9,8.3,22.6,4.3,0,63.3,49.6,50.4,80,515,499,10.9,51.8
107,2023,greenfield,1140000,74,74.3,10.8,0,0,14.9,0,1140000,0.1,1.4,2.5,19.2,5.2,0,71.6,47.1,52.8,18,572,558,10.9,63.9
108,2023,groton-dunstable,6730000,159,98.1,1.3,0,0,0.6,0,6730000,0.3,6.5,1.1,2.4,2.5,0.2,87.1,49.3,50.7,175,600,611,12.5,9.3
109,2023,hadley,1170000,34,97.1,2.9,0,0,0,0,1170000,0.4,4.7,2.2,9.5,3,2.2,78,48.5,51.5,27,570,554,9.1,26
110,2023,hamilton-wenham,6750000,123,94.3,2.4,0,0,3.3,0,6750000,0.1,3.7,0.5,4.2,2,0.3,89.3,51.3,48.7,131,612,589,11.2,8
113,2023,hampden-wilbraham,6800000,223,95.1,0.9,1.3,0,2.7,0,6800000,0.2,2.7,2.5,7.1,3.2,0.1,84.2,50.2,49.8,183,562,570,14,22.1
114,2023,hampshire,6830000,96,97.9,1,0,0,1,0,6830000,0,0.8,0.6,2.8,2.5,0,93.3,52.9,47,34,640,616,9.9,19.4
115,2023,hanover,1220000,160,98.8,0,0,0,1.3,0,1220000,0,2.3,0.9,2.3,0.6,0,93.8,47.6,52.4,217,577,551,13.2,11.1
116,2023,harvard,1250000,72,95.8,4.2,0,0,0,0,1250000,0,11.2,2.1,4,3.1,0,79.6,50.7,49.2,82,639,626,11.5,9.7
